Anime_ID|Synopsis
11770|"Rintaro Okabe is a self-proclaimed ""mad scientist"" who believes that an international organization is conspiring to reshape the world according to its own interests. He and his friend Itaru Hashida inadvertently create a gadget able to send messages to the past. The discovery and experimentation of this instrument become the catalyst of fundamental alterations to the present. Oblivious of the consequences of their actions, Rintaro and his friends end up creating modifications of grievous proportions. He must then try to find a way to return as close as possible to the original timeline in order to save his precious lab members."
10216|"Two brothers lose their mother to an incurable disease. With the power of ""alchemy"", they use taboo knowledge to resurrect her. The process fails, and as a toll for using this type of alchemy, the older brother, Edward Elric loses his left leg while the younger brother, Alphonse Elric loses his entire body. To save his brother, Edward sacrifices his right arm and is able to affix his brother's soul to a suit of armor. With the help of a family friend, Edward receives metal limbs - ""automail"" - to replace his lost ones. With that, Edward vows to search for the Philosopher's Stone to return the brothers to their original bodies, even if it means becoming a ""State Alchemist"", one who uses his/her alchemy for the military."
9701|Life continues on for Tomoya. A few months have passed since he confessed his love to Nagisa. Now entering the second semester, he continues to meet a variety of different people, expanding his own world in the process. As well, Tomoya and Nagisa's relationship begins to enter a level of intimacy unlike before. Through his relationship with Nagisa, and his various encounters, Tomoya begins to understand the meaning and importance of family. Unfortunately, as Tomoya and Nagisa begin their own family together, they are faced with many hardships and challenges along the way.
210|Taken by slavers when he was a child, Himura Kenshin is rescued only when an encounter with bandits kills off everyone but him. He is found by a master of the Divine Justice School of Swordmanship, a school so deadly that to train in it means death for either the master or student—there can only be one master. Taken by the master, Kenshin is trained in this school, only to leave before finishing so that he may join the Meiji Restoration and help prevent further tragedies like his own. Thus is born the Battousai, the greatest strength of the Ishin Patriots, a boy of 15 who kills for the sake of building a new, better world. One night, he comes across a mysterious woman, Tomoe. He must hide with her when the revolution stumbles. They marry for appearances, but soon fall in love. Tomoe has another reason to be with Kenshin, one she regrets but cannot stop. Revenge must be satisfied, and only blood can do that.
9173|"It's been one year since the failure of the Black Rebellion and the supposed death of Zero. Britannia has assigned Area 11 a ""correctional education"" status, where Elevens are made an example of by brute force, to try to prevent any future uprisings and suppress rebellious thoughts. Unsuspecting high school student Lelouch, oblivious to his rebellious past as Zero, stumbles upon a scheme on his life and the life of a mysterious woman known as C.C., who reveals to him his forgotten purpose and his ""true"" self. Destroying his assailants and declaring himself Zero once again, Lelouch sets out to finish what he started."
377|On their way to their new home, a young girl, Chihiro, and her parents stumble into what appears to be an abandoned theme park. But all is not as it seems, as the theme park is a bath-house for the spirits, and not a place where humans are welcome. Chihiro must fend for herself and rescue her parents, as they have been turned to pigs as punishment for eating the food meant for the gods.
15895|Mushi; the life-blood of nature. They exist everywhere in various forms: micro-organisms, fungi, bodies of water. Sometimes, they're even mistaken to be plants, animals, or spirits. But regardless of their appearance, they exist, nonetheless, living the only way they know how. At times, their actions can cause strange or unexplainable phenomena. Enter Ginko, the Mushishi (mushi master), as he continues encountering, studying, and dealing with the mysterious mushi along his journey into the unknown.
13|Spike Spiegel, a bounty Hunter with a dark past, lives on bounty to bounty, barely making it each time, or not making it at all. His partners Jet Black, Faye Valentine, Ed and Ein the dog all help him in his adventures from planet to planet.
11120|It is mid-december, and SOS Brigade chief Haruhi Suzumiya announces that the Brigade is going to hold a Christmas party in their clubroom, with Japanese hotpot for dinner. The brigade members Kyon, Yuki Nagato, Mikuru Asahina and Itsuki Koizumi start preparing everything for the party, such as costumes and decorations. But a couple of days later, Kyon arrives at school only to find that Haruhi is missing. Not only that, but Mikuru claims she has never known Kyon before, Koizumi is also missing, and Yuki has become the sole member of the literature club. The SOS Brigade seems to have never existed, nor has Haruhi Suzumiya. No one in the school has ever heard about her… except for Kyon.
197|While fighting to save his village from the attack of a demon-god, Ashitaka comes in contact with it and is inflicted with a deadly curse. In his search for a cure he is forced to leave his village forever and journey to the forest inhabited by animal gods. There he finds himself in the middle of a war between the forest gods and a village led by Lady Eboshi.
1786|For decades, the Galactic Empire has been locked in an interstellar war with the Free Planets Alliance, a conflict that involves thousands of spaceships and millions of soldiers on both sides. Two new commanders enter the conflict with great hopes: Imperial Admiral Reinhard von Lohengramm and the FPA's Yang Wen-Li. As they deal with superiors and subordinates, maneuver through complicated political arrangements, plot strategies, and win battles, each will be tested, and ultimately, changed, by the reality of war.
6592|"Yagami Light is an ace student with great prospects, who's bored out of his mind. One day he finds the ""Death Note"": a notebook from the realm of the Death Gods, with the power to kill people in any way he desires. With the Death Note in hand, Light decides to create his perfect world, without crime or criminals. However, when criminals start dropping dead one by one, the authorites send the legendary detective L to track down the killer, and a battle of wits, deception and logic ensues..."
5923|"They are neither plants nor animals. They differ from other forms of life such as the micro-organisms and the fungi. Instead they resemble the primeval body of life and are generally known as ""Mushi"". Their existence and appearance are unknown to many and only a limited number of humans are aware of them. Ginko is a ""Mushi-shi"" who travels around to investigate and find out more about the ""Mushi"". In the process, he also lends a helping hand to people who face problems with supernatural occurances which may be related to the ""Mushi""."
15223|
12368|Five childhood friends grow apart after the death of Meiko Honma, close playmate of them all. Jinta Yadomi, leader of the group when they were kids, neglects high school and lives as a shut-in when he unexpectedly starts seeing the ghost of Meiko, who can only interact with him and no one else. She has returned to ask Jinta to fulfill the forgotten wish she made as a kid.
6113|A collection of short stories starring the Yamayurikai, beginning with Yumi Fukuzawa going on vacation with Sachiko Ogasawara.
12835|Gintoki Sakata, Kagura, and Shinpachi Shimura continue to scrape together a living as the freelance jack-of-all-trades group Yorozuya in Edo while living among the several odd humans and aliens that inhabit the peculiar metropolis.
6704|The Empire of Britannia has invaded Japan using giant robot weapons called Knightmare Frames. Japan is now referred to as Area 11, and its people the 11's. A Britannian who was living in Japan at the time, Lelouch, vowed to his Japanese friend Suzaku that he'd destroy Britannia. Years later, Lelouch is in high school, but regularly skips out of school to go play chess and gamble on himself. One day, he stumbles on terrorists 11's who've stolen a military secret and is caught by a member of the Britannian task force sent after them, who is Suzaku. As the rest of the squad arrives, Suzaku is shot for disobeying orders, while the military secret, a young girl, gives Lelouch the power of Geass, which makes anyone obey any order. While Suzaku is secretly made the pilot of Britannia's brand new prototype Knightmare, Lancelot, Lelouch becomes the masked Zero to lead the rebellion to destroy Britannia once and for all.
12398|Going home from his grandfather's funeral, thirty-year-old Daikichi is floored to discover that the old man had an illegitimate child with a younger lover. The rest of his family is equally shocked and embarrassed by this surprise development, and not one of them wants anything to do with the silent little girl, Rin Kaga. In a fit of anger, Daikichi decides to take her in himself. As Daikichi nurtures Rin, he started to understand the struggle while at the same time the joy of parenting.
8421|Under constant attack by Angels, NERV introduces two new pilots: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Parallel to the incursion, Gendo Ikari and SEELE proceed the secret project that involves both Rei and Shinji.
9210|Life goes on for the ladies in the Yamayurikai. On the one-year anniversary of Sachiko and Yumi becoming sœurs, Yumi receives a difficult task from Sachiko: to finally acknowledge someone as her younger sister.
3750|Kenzou Tenma, a Japanese brain surgeon in Germany, had it all: incredible skill at his work, a rich and beautiful fiancee, and a promising career at his hospital. However, after becoming disenchanted by hospital politics, he chose to save the life of a young boy who got shot in the head over the life of the mayor. As a result he lost the support of the hospital director, as well as his position in the hospital and his fiance. A short time later, the hospital director and the doctors that replaced him were murdered, and once again he was catapulted back onto the top. But as the chief suspect of the murders, Tenma did not get a easy life. As a matter of fact, it seems that the boy he saved was much more than he had appeared to be... Now to clear his name and to correct his past mistake, Tenma must get to the bottom of these and other murders, and investigate the truth of the Monster who is behind all of this.
10580|5th grader Koh Kitamura lives next door to the Tsukishima family, owners of a batting cage and the Clover cafe. His girlfriend, Wakaba, is the 2nd Tsukishima daughter; the 3rd daughter, the baseball prodigy Aoba, can't stand him. Wakaba dreams of Koh pitching at legendary Koshien Stadium, site of the national high school championship finals. However, tragedy strikes, and it is up to Koh, with the help of Aoba and his other teammates, to make Wakaba's dream come true,
10544|When timid eleventh-grader and math genius Kenji Koiso is asked by older student and secret crush Natsuki to come with her to her family’s Nagano home for a summer job, he agrees without hesitation. Natsuki’s family, the Jinnouchi clan, dates back to the Muromachi era, and they’ve all come together to celebrate the 90th birthday of the spunky matriarch of the family, Sakae. That’s when Kenji discovers his “summer job” is to pretend to be Natsuki’s fiancé and dance with her at the birthday celebration. As Kenji attempts to keep up with Natsuki’s act around her family, he receives a strange math problem on his cell phone which, being a math genius, he can’t resist solving. As it turns out, the solution to the mysterious equation causes a hijacking of the social networking site through which most of the world's social and business traffic flows.
152|On the final days of World War II, 14-year-old Seita and his four-year-old sister Setsuko are orphaned after their mother is killed during an air raid by American forces in Kobe, Japan. After having a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency funds and rations depleted, Seita and Setsuko must struggle to survive their hardships as well as those of their country, which is on the losing end of the war.
8495|"In a futuristic world where the internet and cybernetics has blurred the borders between societies; the members of Public Security Section 9 are reinstated to assist in solving numerous cases of cyber crime. A spate of similar crimes committed by separate suicidal groups known as ""The Individual Eleven"" becomes the core focus for Section 9 as war approaches in the form of refugees flooding into the country."
6696|A tale of two people, Tono Takaki and Shinohara Akari, who were close friends but gradually grow farther and farther apart as time moves on. They become separated because of their families yet continue to exchange contact in the form of letters. Yet as time continues to trudge on, their contact with one another begins to cease. Years pass and the rift between them grows ever larger. However, Takaki remembers the times they have shared together, but as life continues to unfold for him, he wonders if he would be given the chance to meet Akari again as the tale embarks on Takaki's realization of the world and people around him.
1139|Ippo, a timid highschooler, is one day saved from being beaten up by Takamura, a boxer. Enthralled by Takamura's skills Ippo begins to learn boxing, soon finding love for the sport and a drive to challenge the boxing world.
2960|"After losing their mother, Alphonse and Edward Elric attempt to bring her back using the forbidden science of human alchemy. However, alchemy operates on the theory of equivalent trade, and breaking the human alchemy taboo carries a heavy price. Ed loses his leg, and Al loses his body. Ed is able to seal Al's soul inside of a huge suit of armor, at the cost of his arm. Years later, Ed (now with two mechanical limbs) and Al (still trapped in the armor) leave their childhood home, each brother concerned with the other's happiness. Ed, who has a natural talent and skill for alchemy, becomes nationally certified and is soon known everywhere as the ""Fullmetal Alchemist."" Their true objective is to search for any information on the fabled Philosopher's Stone, hoping it will allow them to regain their old bodies. All of their hopes rest with this mythical stone, which may not even exist at all. However, the brothers soon learn that they are not the only ones after the powerful stone."
6733|"When 17-year-old Makoto Konno gains the ability to, quite literally, ""leap"" backwards through time, she immediately sets about improving her grades and preventing personal mishaps. However, she soon realises that changing the past isn't as simple as it seems, and eventually, will have to rely on her new powers to shape the future of herself and her friends."
7010|At a top music academy in Japan, Shinichi Chiaki's arrogance is matched only by his top-notch piano playing. But when Chiaki and the teacher get into a fight, he's demoted to the reject class. Chiaki is left to pursue his dream of being a conductor while surrounded by a bunch of loser musicians and one annoying girl, Noda, who has proclaimed herself Chiaki's girlfriend. It doesn't help that Noda, who insists on being called Nodame, lives right next door to him.
14996|"While watching a movie, Gintoki comes upon a ""movie thief,"" a figure in Japanese culture often depicted as a man with a video camera as a head. After scolding the movie thief for his actions, he finds himself warped into another world via the camera lens. In this world, 5 years have passed, and not only has the land of Edo changed into an apocalyptic wasteland, but Kagura has changed into a beautiful woman with no Chinese speech pattern, Shinpachi has turned into a cool samurai who is not a <em>tsukkomi</em> anymore, and the Gintoki of this time has gone missing, though he is assumed to be dead. Gintoki is determined to find out the truth of the deadly sickness that is ravaging Edo, and also to understand the feelings of Kagura and Shinpachi, who have been trying to deal with their leader's disappearance."
13776|The year is 2199. The human race has been crushed in their war with the Gamilos, driven into underground cities by the invader's assault. Scientists estimate they have only a year left. The young officers Susumu Kodai and Daisuke Shima receive a mysterious capsule from a ship that made an emergency landing on Mars and return with it to Earth. It contains humanity's last hope: the planet Iscandar on the other side of the Magellan Galaxy has the technology to defeat the Gamilos and restore the planet. The space battleship Yamato is entrusted with this task, but they have only one year before humanity ends.
180|In the post-apocalyptic future, large parts of the world have been swallowed up by forests of poisonous fungi. The remaining humans live near the fungus and its monstrous insectoid inhabitants, trying to prevent its spread. One of the human kingdoms, the peaceful Valley of Wind, loves its gentle Princess Nausicaä and her father the king, but their peace is about to be broken, as they are swallowed up in the machinations of their larger, warmongering neighbours. However, Nausicaä has hidden potential, and may yet change the fate of the world.
6698|In their closed-off underground village, Kamina and Simon chafe at the limits imposed by the village elder. Yet all this will change, when Simon stumbles across a fantastic device—just as the village's peace is broken by a violent intrusion.
13262|Gon Freecs' father abandoned him as a baby in order to become a Hunter, an elite class with a license to go anywhere or do almost anything. Now 12 years old, Gon wishes to follow in his father's footsteps and become a great Hunter. While Gon faces the unexpected challenges the Hunter Examination throws at him, he makes friends with three other candidates: Kurapika, Leorio, and Killua.
13862|"Hana is a 19-year-old student who falls in a ""fairy-tale like"" love with a ""wolf man"". Over the course of the 13-year story Hana gives birth to two children—older sister Yuki, and younger brother Ame, or ""Snow and Rain"". At first the family quietly lives in city trying to hide their wolf heritage, but when the ""wolf man"" suddenly dies Hana makes the decision to move to a rural town, far from their previous city life."
7492|Each of the stories in the series involves several unrelated plots intersecting and crossing each other as events spiral farther and farther out of control. Immortal alchemists, mafia operated speakeasies, and many other elements of pulp fiction mashed together for a world straight out of the movies.
534|Two young girls, Mei and Satsuki, move into a new home that is close to the hospital that their mother is in. In their yard is an extremely large tree which is home to three Totoros, gods of the forest. Soon after, news from the hospital comes up that their mother can't come home as promised, so Mei (the younger daughter) runs away from home to visit her mom. Satsuki then needs to turn to Totoro for help in finding her sister.
13600|"Takashi Natsume continues to return the names of the spirits that have been written in the ""Book of Friends"" he inherited from his grandmother, Reiko Natsume. While Natsume is still aided by the chubby Nyanko-sensei, he's now helped by some of the friends he had made in his journey; be it human beings or spirits. As he becomes closer to both, Natsume faces the inevitable question of the sides he has to take especially when there is a conflict between the two."
6440|The sequel and final installment to the highly popular series once again delves into the life stories and love lives of Takemoto Yuuta, Mayama Takumi and Morita Shinobu. The story continues where the first season left off, after Takemoto's self-discovery journey around Japan. Of course, the love triangles and tribulations they face will continue, and eventually decide the paths to their future.
6431|Yuichi Aizawa returns to this city after seven years. In his childhood, he often visited it, but something happend in the past which caused him to block out his memories of the events of seven years ago. On the day after he gets settled in, he meets a girl carrying a backpack with wings on it. Her name is Tsukimiya Ayu and he begins to recall the memories he had lost.
1965|The story follows the travels of Kino, a young adventurer who rides a talking motorcycle named Hermes. They explore the people and cultures of different places throughout their adventures, spending only three days at each location.
7998|In the not too distant future androids have come into common usage. Taking the androids for granted, humans treat them as if they were common everyday tools, while on the other hand, some people empathize with androids due to their human-like appearance (save for a digital ring floating above their heads). This has become a social problem and these people are frowned upon as a result. Rikuo, one who has taken androids for granted for his entire life, one day discovers that Sammy, his home android, has been acting strangely and finds a strange phrase recorded in her activity log. He, along with his friend Masaki, traces Sammy's footsteps and come upon an unusual cafe. This cafe's main rule is to not discriminate between humans and androids.
153|"Onizuka Eikichi is an ex-bike gang leader who has but one goal, to become the greatest teacher. While doing his teaching internship as part of his studies to become a qualified teacher, he ends up in a delinquent class and learns of the possibility and necessity of the power and respect gained from one's students. Due to a mishap, after graduating, he gets a job at a prestigious private school to handle their 'problem class' that made the past few teachers quit. He must now handle a different kind of trouble when the trouble-makers include some of the smartest kids in Japan who prefer a more ""intellectual approach"" to torturing their teacher. Onizuka must slowly win his students over and deal with their distrust and hatred towards teachers and adults while handling the distrust of his fellow teachers who feel him unworthy of being a teacher."
10387|Ippo Makunouchi continues his boxing career and his goal on knowing the meaning of being strong, and the desire on fighting his idol Ichiro Miyata once again. Along him are pro boxers Takamura, Aoki and Kimura that each one of them aspire to their own dreams.
10254|Natsume is again meeting new youkai and helping them. A lot of friends join him along the way, he meets others who can also see the spirits and at times they join forces to solve the latest mystery. As always, Nyanko-sensei is there to help Natsume on his quests.
12120|After experiencing a bizarre dream, Madoka Kaname, a kind 14-year-old girl, encounters a magical creature named Kyube. Madoka and her friend Sayaka Miki are offered the opportunity of gaining magical powers if they agree to make a contract with the strange little being. He will also grant them one wish, but in exchange they shall risk their lives by accepting the responsibility of fighting witches. Invisible to human eyes, witches are catalysts of despair in the areas they inhabit. An ally of Kyube, a magical girl named Mami Tomoe, befriends and encourages the two girls to accept the contract. For an unknown reason, another magical girl named Homura Akemi is determined to prevent Madoka from accepting the deal.
